rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:74EGMROdYEhlDCrVV9inY2","22xlstl","We Are Charlie Kirk","22XELESTIAL / AMM Ventures, LLC",1,1,15
2,"spotify:track:6jppHdy8EW9ghHlOCpGBEr","Bershy","Radio","Bridge Between Records",1,3,20
3,"spotify:track:0myRViRgmQ3J8izICXEAVO","She & Him","I Thought I Saw Your Face Today","Merge Records",3,4,33
4,"spotify:track:4RvaI6d8mWCfEcGffUN52w","Olga Myko","use me!!!!!!!","Olga Myko",4,7,20
5,"spotify:track:3vJIaiTIHxHhYafTSPNiH4","Disney, Shakira","Zoo","Walt Disney Records",5,6,12
6,"spotify:track:7u3BVQ9DG1KA9c3Q8W3BLr","Hazbin Hotel, Keith David, Lilli Cooper, Kimiko Glenn, Krystina Alabado, Sam Haft, Andrew Underberg","Love In A Bottle","Atlantic Records",5,5,4
7,"spotify:track:554qQSs9lpRVq6TlaaiIKT","EsDeeKid","4 Raws","Lizzy Records",7,8,82
8,"spotify:track:24GdDBCqLhHEe2cAFvgUrL","GIRLSET","Little Miss","Republic Records",8,9,4
9,"spotify:track:3HiCAjMaPfM4vnbhLhADBp","Ice Spice","Big Guy - from ""The SpongeBob Movie: Search for SquarePants”","10K Projects/Capitol Records",9,10,4
10,"spotify:track:6ly0Zc4mrK1W0XLeuAk5Dv","Hazbin Hotel, Blake Roman, Sam Haft, Andrew Underberg","Losin' Streak","Atlantic Records",10,11,4
11,"spotify:track:65DbTqJKhbwqYbZ1Okr0rc","Ella Langley","Choosin' Texas","SAWGOD/Columbia",5,14,32
12,"spotify:track:1lJOLxDS8kS2rihrqezMcv","EsDeeKid","Century","Lizzy Records",12,13,18
13,"spotify:track:2ggP6WjaTsloaiBxXY5JB7","Elevation Worship, Chandler Moore","God I'm Just Grateful","Elevation Worship Records",11,12,11
14,"spotify:track:6Km8JhmtqvNxQCUlX32PD9","H3adband","BOO","H3adband",14,18,8
15,"spotify:track:3HfKlhohNNTLIv2t9uvmzz","NF","FEAR","NF Real Music II",12,15,4
16,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",16,16,11
17,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",1,17,60
18,"spotify:track:7r6xGsyES2DTacyP6O585i","Gaten Matarazzo, Gabriella Pizzolo","Never Ending Story","Legacy Recordings",1,19,102
19,"spotify:track:4xqrdfXkTW4T0RauPLv3WA","Conan Gray","Heather","Republic Records",7,26,170
20,"spotify:track:57Z6TJCTMACXxdrcwZ3Zvf","EsDeeKid, Rico Ace","Phantom","Lizzy Records",20,20,77
21,"spotify:track:5W9YtUsoXA547TTPJUXvns","Annabelle Dinda","The Hand","Annabelle Dinda",6,22,10
22,"spotify:track:2hY9mOKGblxfNFl2GOQKj4","JMSN","Love Me","JMSN",12,21,24
23,"spotify:track:54uoj9Bb6k97wSQ9MezOYU","Buffalo Traffic Jam","Fool's Gold","Arista Records",8,25,53
24,"spotify:track:3YjVhsdXUG69TeUm0XzIFZ","THOT SQUAD","HOES DEPRESSED","THOT SQUAD",3,24,25
25,"spotify:track:0myPb7rgTdf5dTHnfwdvO9","Hazbin Hotel, Jessica Vosk, Alex Brightman, Sam Haft, Andrew Underberg","Gravity","Atlantic Records",1,23,39
26,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",5,27,39
27,"spotify:track:23ZdNaFSfH7VdSVU4U0Agb","SIENNA SPIRO","You Stole The Show","Capitol Records",16,35,42
28,"spotify:track:5YgLr3Hn1JwngvChsXdJGH","Jessie Murph, 6LACK","Forever (feat. 6LACK)","Columbia",28,28,4
29,"spotify:track:7mcxFbFdnFFbWwPflgqqKE","EsDeeKid","Rottweiler","Lizzy Records",29,31,44
30,"spotify:track:0620OecAlwJQxWieRW4L9s","Labi Siffre","Bless the Telephone","Edsel",7,36,57
31,"spotify:track:09xhawlPUifhftf8zuie7w","Buckshot, fakemink","Fever","-",26,33,23
32,"spotify:track:7KWeKiDy7GqFjQ5e7xiPxy","Hazbin Hotel, Jeremy Jordan, Christian Borle, Sam Haft, Andrew Underberg","VOX POPULI","Atlantic Records",29,29,4
33,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",1,34,95
34,"spotify:track:48axmFD7PUPnTOdSFMYrvj","NF, mgk","WHO I WAS","NF Real Music II",24,30,4
35,"spotify:track:2o4kFMrOGhXwdpKd2ZUaKs","Devi McCallion","I Want Things to Be Beautiful","Devi McCallion",10,37,27
36,"spotify:track:3fBLo7dnG5CSepoXgu3B53","Breaking Rust","Livin’ on Borrowed Time","Breaking Rust",2,38,31
37,"spotify:track:72RX8sK4OKFnUX2MBDOdBD","Stephen Wilson Jr.","Stand By Me - Live at The Print Shop","Big Loud Records",24,32,14
38,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",3,39,53
39,"spotify:track:0il7LJ828XyPqyvNx9cF5S","Smerz","You got time and I got money","Escho",39,45,16
40,"spotify:track:312z6PZ8wwREck8613PkJk","Olivia Dean","A Couple Minutes","PLG - Capitol",11,42,53
