rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
41,"spotify:track:5uz5v1hRZLjNGatcPtOWUv","EsDeeKid, fakemink, Rico Ace","LV Sandals","Lizzy Records",40,40,46
42,"spotify:track:4uvjOKsp7mSjrDhWdkLPBY","Tiffany","I Think We're Alone Now","Geffen*",42,47,25
43,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",1,48,125
44,"spotify:track:4VxTzYm00mg82MuoT35Ja7","Tyla","CHANEL","Epic",41,50,25
45,"spotify:track:2Kc8MeW8prVwHEREYM3wCG","JVKE, Annika Wells","her (feat. Annika Wells)","JVKE",43,43,4
46,"spotify:track:5ViLKrbyL3HD6wsq3AB9eI","Dominic Fike","White Keys","Columbia",44,44,4
47,"spotify:track:0Y2QAFRdkzrNAJDPJ5lATF","Fred again.., Sammy Virji, Reggie","Talk of the Town","Atlantic Records UK",16,46,18
48,"spotify:track:1p7K0GCeGcRexeVApuIKnN","Hazbin Hotel, Stephanie Beatriz, Erika Henningsen, Sam Haft, Andrew Underberg","Easy","Atlantic Records",38,41,4
49,"spotify:track:17HsyeI0Eq06n3XRntZ4DT","Breaking Rust","Walk My Walk","Breaking Rust",1,49,30
50,"spotify:track:1g9GiiPPaL7KcDHlDzu7lT","Geese","Au Pays du Cocaine","Partisan / Play It Again Sam",7,57,28
51,"spotify:track:2NLOyWzztMiW5FmNhD83K6","EsDeeKid, Rico Ace","Mist","Lizzy Records",49,51,17
52,"spotify:track:53CnanPxbhecUExO9EIinJ","Hazbin Hotel, Kimiko Glenn, Erika Henningsen, Sam Haft, Andrew Underberg","Clean It Up!","Atlantic Records",42,52,11
54,"spotify:track:1MWJ3pny2L1eiZTAYTaYwJ","Wale, Leon Thomas","Watching Us (with Leon Thomas)","Wale Music PS/ Def Jam",47,53,4
55,"spotify:track:3SEVc1OeCtFmVVJPtWzq3P","Hazbin Hotel, Patina Miller, Liz Callaway, Sam Haft, Andrew Underberg","Sera's Confession","Atlantic Records",28,54,18
56,"spotify:track:3pbtBomO4Zt5gGiqsYeiBH","Diana Ross","Upside Down","UNI/MOTOWN",56,56,3
57,"spotify:track:4oVO4fGNRRvEn0CRuFO4qv","ROSALÍA, Yahritza Y Su Esencia","La Perla","Columbia",12,55,11
58,"spotify:track:2zf1izCOz2F22PF27uhxRF","Cameron Winter","Love Takes Miles","Partisan / Play It Again Sam",58,68,3
59,"spotify:track:5Jh7Gc5aF6leolD64pNRD5","overtonight throwaways, overtonight","mirrors demo","TOKYOSLONDON",41,59,24
60,"spotify:track:2pPNAgcdgtRMwK9mPYMK7O","EsDeeKid, Rico Ace","Cali Man","Lizzy Records",35,63,50
61,"spotify:track:79bWkyd08EFDO0ZZuu7IRT","Furacão 2000, Nyasia","Mimosa 2000","Furacao 2000",3,60,68
62,"spotify:track:4GWl0BXvpoZL6B8e1f6Nn9","Hazbin Hotel, Christian Borle, Amir Talai, Joel Perez, Sam Haft, Andrew Underberg","Don't You Forget (Reprise)","Atlantic Records",47,61,11
63,"spotify:track:3Vd4fHzwS6pBS3muymjiDi","Olivia Dean","Let Alone The One You Love","PLG - Capitol",13,66,53
64,"spotify:track:5XpCZoQBmYk3APbuAJqL3D","Hazbin Hotel, Christian Borle, Sam Haft, Andrew Underberg","VOX DEI","Atlantic Records",56,64,4
65,"spotify:track:6XYSYV2avqhOl9BRexar7S","Hazbin Hotel, Leslie Kritzer, Amir Talai, Sam Haft, Andrew Underberg","Don't You Forget","Atlantic Records",44,62,11
66,"spotify:track:0nRYjxQQCzMVyjgpTtKjLt","John Summit, Subtronics, Inéz","crystallized (feat. Inéz) - Subtronics Remix","Experts Only/Darkroom Records",28,67,11
67,"spotify:track:6DH13QYXK7lKkYHSU88N48","Daniel Caesar","Who Knows","Republic Records",16,69,25
68,"spotify:track:1PtQJZVZIdWIYdARpZRDFO","Kate Bush","Running Up That Hill (A Deal With God)","Fish People",1,65,91
69,"spotify:track:3DjBBD4u8mxzAQRsS9ua1u","Jessie Murph","Wildflowers and Wine","Columbia",69,71,4
70,"spotify:track:7eCAw2VS0UhbsiSItwWdvl","Summer Walker, Latto, Doja Cat","Go Girl (with Latto & Doja Cat)","LVRN/Interscope Records",61,70,4
71,"spotify:track:5KP2SYUSHbLbLsjw40VeH8","Hazbin Hotel, Alex Brightman, Krystina Alabado, Blake Roman, Sam Haft, Andrew Underberg","Piss (A Love Song)","Atlantic Records",53,72,11
72,"spotify:track:6eo9UbUfjybG8VQLYspVO6","Doc Raven","My Ride or Die","Doc Raven",5,79,29
73,"spotify:track:0gx2NKeIy2YCc1UaXkJmYI","Ashley Cooke","baby blues","Big Loud Records",73,78,4
74,"spotify:track:49ulaJeCHwGaSgAiiisHa7","Jessie Murph","Certain Kind of Love","Columbia",66,74,4
75,"spotify:track:7bxtXC2RHjmd7yNQPnbiZI","Lithe, Don Toliver","FaceTime (feat. Don Toliver)","GSL",75,76,4
76,"spotify:track:6yJCKvJQjY84hOid1klHOd","NF","HOME","NF Real Music II",60,77,4
77,"spotify:track:5M2ztfcb9GBGmZdUFkSzfQ","NF, James Arthur","SORRY","NF Real Music II",65,80,4
78,"spotify:track:66sO5P0JhejhELU35RYVKV","Hazbin Hotel, Christian Borle, Joel Perez, Lilli Cooper, Sam Haft, Andrew Underberg","Once We Get Up There","Atlantic Records",44,75,18
79,"spotify:track:72YttnPRxyHe8zCG50jYhj","ZXKAI, slxughter","NO BATIDÃO - Slowed","ZXKAI",58,82,19
80,"spotify:track:2cMO1LFtsP2EBjWgG4JHZl","Joshua Slone","Your Place At My Place","Max Kang LLC",10,83,18
81,"spotify:track:0vYSTV1Lye2Z2zktF6P39C","RAYE, David Guetta, Hypaton","WHERE IS MY HUSBAND! - Remix","Human Re Sources",81,85,4
82,"spotify:track:7cqKXq3pKFXjd61mBUumZG","Jay Lewis, Gorilla Mode Dezz, Mista Cain","I Hope","Jay Lewis",18,86,44
84,"spotify:track:2Ui2JtVjnbHZuExldryCOA","Julia Wolf","In My Room","girls in purgatory",2,91,238
85,"spotify:track:44xDy4h27s4ENaC8fKnCoC","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",85,92,4
86,"spotify:track:5gLXpfTtAlQVUPLE39yqNR","Hazbin Hotel, Christian Borle, Alex Newell, James Monroe Iglehart, Andrew Durand, Patrick Stump, Lilli Cooper, Joel Perez, Daphne Rubin-Vega, Sam Haft, Andrew Underberg","Bad With Us","Atlantic Records",84,84,4
87,"spotify:track:4ecdsGz3Hg6TKPwQ0ZOdJz","CORTIS","FaSHioN","Republic Records – CORTIS",3,94,60
88,"spotify:track:2mNGL7mZILSqZHxGboJaO9","Yeat","COMË N GO","Lyfestyle Corporation/Field Trip Recordings/Capitol Records",22,93,108
89,"spotify:track:6tHVEMyRfxGgQuXRzl2yOF","Olivia Dean","I've Seen It","PLG - Capitol",23,87,53
90,"spotify:track:1fsBDvL77kDOixZ8Lw9cjZ","Stephen Schwartz, Kristin Chenoweth, Idina Menzel, Stephen Oremus","Defying Gravity","UME - Global Clearing House",1,81,137
91,"spotify:track:4ThbwJaIWVxXZ1qJaHQBCz","Cody Johnson","Travelin' Soldier","CoJo Music/Warner Records Nashville",29,88,11
92,"spotify:track:6YrkatdanWuKHmF4mBxX2i","Stephen Wilson Jr.","I'm A Song - Live at The Print Shop","Big Loud Records",73,90,11
93,"spotify:track:2Nig1jX8uBu3LdSSUrm7Fp","NF","GIVE ME A REASON","NF Real Music II",78,89,4
94,"spotify:track:730GhznXWwH802wyHVJoqi","Thomas Day","lost myself 4 u","Arista Records",32,-1,15
95,"spotify:track:2Hg6JQr80HfDgb8T9s28g1","YEONJUN, Daniela Avanzini","Let Me Tell You (feat. Daniela of KATSEYE)","Republic Records - TXT",56,98,10
96,"spotify:track:4YmsnZcxHEGEqHB3K0vdt0","Ty Dolla $ign, Juicy J, Quavo","DON'T KILL THE PARTY (feat. Quavo & Juicy J)","Atlantic Records",40,-1,17
97,"spotify:track:5ooqCHqs4axSJbWqIHfKfB","HIM","Join Me In Death","BMG Rights Management (US) LLC",58,96,28
98,"spotify:track:0T4lcpAprQ7CXjNdYCZ3vp","Jack Johnson, Hermanos Gutiérrez","Hold On To The Light","Jack Johnson Soundtrack",68,99,10
99,"spotify:track:7lCpzHEIIBf7BQKfRyRP01","Big L, Mac Miller, Pale Jay","Forever","Mass Appeal",15,95,18
100,"spotify:track:5vHs45P0mSuzl9rDRcliLK","Buck Owens & The Buckaroos","Made In Japan","Omnivore Recordings",28,97,87
