rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
109,"spotify:track:0InIeZW4P6VO7dUGRM4AKH","The Marías","Sienna","Nice Life/Atlantic",77,110,88,"1523509"
110,"spotify:track:5g7sDjBhZ4I3gcFIpkrLuI","Bruno Mars","Locked out of Heaven","Atlantic Records",21,107,1208,"1519435"
111,"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",17,109,898,"1511580"
112,"spotify:track:3XsaSIPWvM61RIFfeb0BBR","Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra","White Christmas - 1947 Version","Geffen",10,94,246,"1510349"
113,"spotify:track:4e76Ss3ji7HQZ4qwcPNkNA","Junior H","MIENTRAS DUERMES","WEA Latina",113,139,65,"1503593"
114,"spotify:track:0fK7ie6XwGxQTIkpFoWkd1","JENNIE","like JENNIE","OA Entertainment/Columbia",5,157,271,"1494453"
115,"spotify:track:0bxPRWprUVpQK0UFcddkrA","Kehlani","Folded","TSNMI / Atlantic",62,118,125,"1493928"
116,"spotify:track:5H1sKFMzDeMtXwND3V6hRY","BLACKPINK","JUMP","YG Entertainment",1,122,145,"1491810"
117,"spotify:track:2mdrVnxEnPR6iFijakkxQS","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",28,127,128,"1488236"
118,"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Ed Sheeran","Perfect","Atlantic Records UK",3,103,2968,"1484501"
119,"spotify:track:3qdeRGn9erK9sjs1kUtBys","Fuerza Regida","CHAVALITAS","Rancho Humilde/Street Mob Records/Sony Music Latin",52,136,20,"1480537"
120,"spotify:track:6DH13QYXK7lKkYHSU88N48","Daniel Caesar","Who Knows","Republic Records",96,102,14,"1478790"
121,"spotify:track:0B7wvvmu9EISAwZnOpjhNI","Bruno Mars","When I Was Your Man","Atlantic Records",28,116,1052,"1472904"
122,"spotify:track:75JFxkI2RXiU7L9VXzMkle","Coldplay","The Scientist","Parlophone Records Limited",63,120,616,"1466893"
123,"spotify:track:0lYBSQXN6rCTvUZvg9S0lU","DJ Snake, Justin Bieber","Let Me Love You","DJ Snake Def Jam",3,100,553,"1460571"
124,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",33,166,170,"1454208"
125,"spotify:track:4rMNgxEwGWoPHIUcvB5BrB","Bruno Mars","It Will Rain","Chop Shop/Atlantic",29,135,122,"1450264"
126,"spotify:track:7J1uxwnxfQLu4APicE5Rnj","Michael Jackson","Billie Jean","Epic",35,114,253,"1448132"
127,"spotify:track:6393yGahSJ9slVdOwSxOVR","Chappell Roan","Pink Pony Club","Chappell Roan PS/ Island",18,189,474,"1444978"
128,"spotify:track:2nMeu6UenVvwUktBCpLMK9","Lana Del Rey","Young And Beautiful","Polydor Records",79,111,274,"1443696"
129,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",9,134,1398,"1434373"
130,"spotify:track:6fxVffaTuwjgEk5h9QyRjy","Ed Sheeran","Photograph","Atlantic Records UK",40,101,1472,"1434070"
131,"spotify:track:0je57Uq5eTk1wrPzn9sWbl","Sabrina Carpenter","When Did You Get Hot?","Island Records",9,131,97,"1430888"
132,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",59,132,1424,"1428934"
133,"spotify:track:2nLtzopw4rPReszdYBJU6h","Linkin Park","Numb","Warner Records",12,144,628,"1424592"
134,"spotify:track:4Yg2w0P29BBBMixyeNjDtj","Band Aid","Do They Know It's Christmas? - 1984 Version","EMI",3,113,247,"1423757"
135,"spotify:track:3bH2Eu9A9ymI4UnGHRmoXg","Ed Sheeran, Elton John","Merry Christmas","Atlantic Records UK",16,126,111,"1423329"
136,"spotify:track:3A02hWQ2ebOFDWSbAMNnpw","Madison Beer","bittersweet","Epic/Sing It Loud",119,119,12,"1410325"
137,"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Ed Sheeran","Shape of You","Atlantic Records UK",1,115,2713,"1404738"
138,"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Vance Joy","Riptide","Atlantic Records",28,142,1756,"1404650"
139,"spotify:track:3RXUgPNIbUgFxsDWuBQEt6","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","How It’s Done","K-Pop Demon Hunters",6,158,164,"1401946"
140,"spotify:track:5cF0dROlMOK5uNZtivgu50","Charlie Puth","Attention","Artist Partner",5,117,556,"1399553"
141,"spotify:track:0COqiPhxzoWICwFCS4eZcp","Evanescence","Bring Me To Life","The Bicycle Music Company",72,137,235,"1397113"
142,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",15,112,329,"1391657"
143,"spotify:track:27qAMKrDdKEs8HDXcvR24R","Chris Rea","Driving Home for Christmas - 2019 Remaster","Rhino",8,133,236,"1390462"
144,"spotify:track:3QIoEi8Enr9uHffwInGIsC","Eagles","Please Come Home for Christmas - 2013 Remaster","Rhino/Elektra",31,152,63,"1389784"
145,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",13,168,1005,"1388636"
146,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",7,-1,270,"1387177"
147,"spotify:track:5sBDrrtLGbV64QJnEqfjer","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","What It Sounds Like","K-Pop Demon Hunters",7,154,164,"1386226"
148,"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Tears For Fears","Everybody Wants To Rule The World","UMC (Universal Music Catalogue)",80,123,926,"1383307"
149,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Eminem Catalog PS",29,155,1447,"1382256"
