rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
76,"spotify:track:1PtQJZVZIdWIYdARpZRDFO","Kate Bush","Running Up That Hill (A Deal With God)","Fish People",1,85,87
77,"spotify:track:6tHVEMyRfxGgQuXRzl2yOF","Olivia Dean","I've Seen It","PLG - Capitol",23,77,49
78,"spotify:track:5vHs45P0mSuzl9rDRcliLK","Buck Owens & The Buckaroos","Made In Japan","Omnivore Recordings",28,76,83
79,"spotify:track:0br9vcQnqeqp9PKCGsrxAF","Wicked Movie Cast, Ariana Grande, Andy Nyman, Courtney-Mae Briggs, Jeff Goldblum, Sharon D. Clarke, Jenna Boyd","No One Mourns the Wicked","Universal Studios and Republic Records",11,75,52
80,"spotify:track:2uPMsTEKx79gJ8rB3AcT0v","Bizarrap, Daddy Yankee","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","DALE PLAY Records",69,78,7
81,"spotify:track:7B6Jgw1FIgyfIidQiIftJ3","Hazbin Hotel, Erika Henningsen, Christian Borle, Joel Perez, Lilli Cooper, Stephanie Beatriz, Kevin Del Aguila, Krystina Alabado, Keith David, Kimiko Glenn, Amir Talai, Sam Haft, Andrew Underberg","Hazbin Guarantee (Trust Us)","Atlantic Records",31,79,30
82,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",1,96,121
83,"spotify:track:5ooqCHqs4axSJbWqIHfKfB","HIM","Join Me In Death","BMG Rights Management (US) LLC",58,84,25
84,"spotify:track:1NXbNEAcPvY5G1xvfN57aA","Tame Impala","Dracula","Columbia",1,83,49
85,"spotify:track:59hVbgr8rfYkDbHfr8RcGI","Kenshi Yonezu","IRIS OUT","Sony Music Labels Inc.",3,82,44
86,"spotify:track:2mNGL7mZILSqZHxGboJaO9","Yeat","COMË N GO","Lyfestyle Corporation/Field Trip Recordings/Capitol Records",22,87,105
87,"spotify:track:1eXaJCN3pBxK12D4NjJwBP","Kelsea Ballerini","I Sit In Parks","Black River Entertainment",32,80,7
