rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:5nC5a57UgrSg1mUxsz1P9D","22xlstl","We Are Charlie Kirk","22XELESTIAL / AMM Ventures, LLC",1,1,5
3,"spotify:track:3MNCLvaxxaJ5SbtYxxtrRd","eli.","heavens in ashes","10702597 Records DK",3,-1,1
4,"spotify:track:2pHClPIG7C5v9Qhd1LHS2y","Stephen Schwartz, Idina Menzel, Leo Norbert Butz, Stephen Oremus","As Long As You're Mine","UME - Global Clearing House",1,4,33
5,"spotify:track:7BYVb8ueEqGvcnPJWXihSt","Stephen Schwartz, Idina Menzel, Stephen Oremus","No Good Deed - From ""Wicked"" Original Broadway Cast Recording/2003","Verve (Adult Contemporary)",2,5,52
6,"spotify:track:73I3Tcfussd9QT9OY6dqSi","Olga Myko","use me!!!!!!!","Olga Myko",4,6,10
7,"spotify:track:2zS3syUBiTkYqJRm9Tn52h","Cynthia Erivo, Ariana Grande, Idina Menzel, Kristin Chenoweth","For Good - Live from the Gershwin Theatre","Wicked Soundtrack",7,-1,1
8,"spotify:track:17HsyeI0Eq06n3XRntZ4DT","Breaking Rust","Walk My Walk","Breaking Rust",1,3,21
9,"spotify:track:0l5v3DyJqO2q5Dy6cplOmN","Cain Walker","I Don't Care","Crusty Records",9,-1,1
10,"spotify:track:7xm4LAfV1lMn7rMJhO4ce6","THOT SQUAD","HOES DEPRESSED","THOT SQUAD",3,7,15
11,"spotify:track:2ggP6WjaTsloaiBxXY5JB7","Elevation Worship, Chandler Moore","God I'm Just Grateful","Elevation Worship Records",11,-1,1
12,"spotify:track:4oVO4fGNRRvEn0CRuFO4qv","ROSALÍA, Yahritza Y Su Esencia","La Perla","Columbia",12,-1,1
13,"spotify:track:554qQSs9lpRVq6TlaaiIKT","EsDeeKid","4 Raws","Lizzy Records",7,10,72
14,"spotify:track:0zdjVFe5tqhgJVXLkvA8FX","Stephen Schwartz, Kristin Chenoweth, Carole Shelley, Stephen Oremus","Thank Goodness - From ""Wicked"" Original Broadway Cast Recording/2003","Verve (Adult Contemporary)",10,13,25
15,"spotify:track:0myPb7rgTdf5dTHnfwdvO9","Hazbin Hotel, Jessica Vosk, Alex Brightman, Sam Haft, Andrew Underberg","Gravity","Atlantic Records",1,8,29
16,"spotify:track:1s8kwEysRcSGPZC4Eg12By","Cain Walker","Ain't My Problem","Crusty Records",1,15,14
17,"spotify:track:2hY9mOKGblxfNFl2GOQKj4","JMSN","Love Me","JMSN",12,18,14
18,"spotify:track:0myRViRgmQ3J8izICXEAVO","She & Him","I Thought I Saw Your Face Today","Merge Records",14,14,23
19,"spotify:track:3fBLo7dnG5CSepoXgu3B53","Breaking Rust","Livin’ on Borrowed Time","Breaking Rust",2,9,21
20,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",1,17,50
21,"spotify:track:54uoj9Bb6k97wSQ9MezOYU","Buffalo Traffic Jam","Fool's Gold","Arista Records",8,20,43
22,"spotify:track:65DbTqJKhbwqYbZ1Okr0rc","Ella Langley","Choosin' Texas","SAWGOD/Columbia",5,21,22
23,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",5,12,29
24,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",24,-1,1
25,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",1,22,85
26,"spotify:track:1lJOLxDS8kS2rihrqezMcv","EsDeeKid","Century","Lizzy Records",25,25,8
27,"spotify:track:0Y2QAFRdkzrNAJDPJ5lATF","Fred again.., Sammy Virji, Reggie","Talk of the Town","Atlantic Records UK",16,24,8
28,"spotify:track:0nRYjxQQCzMVyjgpTtKjLt","John Summit, Subtronics, Inéz","crystallized (feat. Inéz) - Subtronics Remix","Experts Only/Darkroom Records",28,-1,1
29,"spotify:track:4ThbwJaIWVxXZ1qJaHQBCz","Cody Johnson","Travelin' Soldier","CoJo Music/Warner Records Nashville",29,-1,1
30,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",3,23,43
31,"spotify:track:72RX8sK4OKFnUX2MBDOdBD","Stephen Wilson Jr.","Stand By Me - Live at The Print Shop","Big Loud Records",31,37,4
32,"spotify:track:1eXaJCN3pBxK12D4NjJwBP","Kelsea Ballerini","I Sit In Parks","Black River Entertainment",32,-1,1
33,"spotify:track:312z6PZ8wwREck8613PkJk","Olivia Dean","A Couple Minutes","PLG - Capitol",11,28,43
34,"spotify:track:57Z6TJCTMACXxdrcwZ3Zvf","EsDeeKid, Rico Ace","Phantom","Lizzy Records",24,31,67
35,"spotify:track:0620OecAlwJQxWieRW4L9s","Labi Siffre","Bless the Telephone","Edsel",7,30,47
36,"spotify:track:4ORvXsPK9AJmDzm36BYcdy","ROSALÍA","Reliquia","Columbia",36,-1,1
37,"spotify:track:23ZdNaFSfH7VdSVU4U0Agb","SIENNA SPIRO","You Stole The Show","Capitol Records",16,27,32
38,"spotify:track:09xhawlPUifhftf8zuie7w","Buckshot, fakemink","Fever","-",26,32,13
39,"spotify:track:2T8yuUKl1nhmtaIocqWo4i","ROSALÍA, Björk, Yves Tumor","Berghain","Columbia",3,16,15
40,"spotify:track:1BeyjPUWYbHcthHjusrejv","Hilary Duff","Mature","Atlantic Records",40,-1,1
41,"spotify:track:53rDh4kB1LJyLgnxm8K6Np","Fred again.., CA7RIEL & Paco Amoroso","Beto’s Horns - fred remix","Atlantic Records UK",41,-1,1
42,"spotify:track:2cMO1LFtsP2EBjWgG4JHZl","Joshua Slone","Your Place At My Place","Max Kang LLC",10,19,8
43,"spotify:track:7mcxFbFdnFFbWwPflgqqKE","EsDeeKid","Rottweiler","Lizzy Records",34,34,34
44,"spotify:track:0MP4nheWCUxoztTK5yqb3g","Cynthia Erivo, Ariana Grande","Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre","Wicked Soundtrack",44,-1,1
45,"spotify:track:2o4kFMrOGhXwdpKd2ZUaKs","Devi McCallion","I Want Things to Be Beautiful","Devi McCallion",10,33,17
46,"spotify:track:3SEVc1OeCtFmVVJPtWzq3P","Hazbin Hotel, Patina Miller, Liz Callaway, Sam Haft, Andrew Underberg","Sera's Confession","Atlantic Records",28,38,8
47,"spotify:track:7lCpzHEIIBf7BQKfRyRP01","Big L, Mac Miller, Pale Jay","Forever","Mass Appeal",15,26,8
48,"spotify:track:3Vd4fHzwS6pBS3muymjiDi","Olivia Dean","Let Alone The One You Love","PLG - Capitol",13,39,43
49,"spotify:track:6eo9UbUfjybG8VQLYspVO6","Doc Raven","My Ride or Die","Doc Raven",5,35,19
50,"spotify:track:79bWkyd08EFDO0ZZuu7IRT","Furacão 2000, Nyasia","Mimosa 2000","Furacao 2000",3,36,58
51,"spotify:track:730GhznXWwH802wyHVJoqi","Thomas Day","lost myself 4 u","Arista Records",32,40,8
52,"spotify:track:5uz5v1hRZLjNGatcPtOWUv","EsDeeKid, fakemink, Rico Ace","LV Sandals","Lizzy Records",43,43,36
53,"spotify:track:4GWl0BXvpoZL6B8e1f6Nn9","Hazbin Hotel, Christian Borle, Amir Talai, Joel Perez, Sam Haft, Andrew Underberg","Don't You Forget (Reprise)","Atlantic Records",53,-1,1
54,"spotify:track:6XYSYV2avqhOl9BRexar7S","Hazbin Hotel, Leslie Kritzer, Amir Talai, Sam Haft, Andrew Underberg","Don't You Forget","Atlantic Records",54,-1,1
55,"spotify:track:4VxTzYm00mg82MuoT35Ja7","Tyla","CHANEL","Epic",41,45,15
56,"spotify:track:53CnanPxbhecUExO9EIinJ","Hazbin Hotel, Kimiko Glenn, Erika Henningsen, Sam Haft, Andrew Underberg","Clean It Up!","Atlantic Records",56,-1,1
57,"spotify:track:16Z0an8D4BJNm3VbWWpTnv","Joji","Past Won't Leave My Bed","Palace Creek",57,-1,1
58,"spotify:track:2Hg6JQr80HfDgb8T9s28g1","YEONJUN, Daniela Avanzini","Let Me Tell You (feat. Daniela of KATSEYE)","Republic Records - TXT",58,-1,1
59,"spotify:track:5KP2SYUSHbLbLsjw40VeH8","Hazbin Hotel, Alex Brightman, Krystina Alabado, Blake Roman, Sam Haft, Andrew Underberg","Piss (A Love Song)","Atlantic Records",59,-1,1
60,"spotify:track:1fsBDvL77kDOixZ8Lw9cjZ","Stephen Schwartz, Kristin Chenoweth, Idina Menzel, Stephen Oremus","Defying Gravity","UME - Global Clearing House",1,51,134
61,"spotify:track:6lYUgmE829m06SMC6tG3qD","Charli xcx, John Cale","House featuring John Cale","Atlantic Records",61,-1,1
62,"spotify:track:5Jh7Gc5aF6leolD64pNRD5","overtonight throwaways, overtonight","mirrors demo","TOKYOSLONDON",41,41,14
