rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
63,"spotify:track:0IPBqw1WDfXfkzJgQaYOl9","nate band","Miss Your Body","Thirty Knots / moshpit projects.",4,29,21
64,"spotify:track:6PlBKImSl4AZoxBU7F649D","Taylor Swift, Loud Luxury","The Fate of Ophelia - Loud Luxury Remix","Taylor Swift",64,-1,1
65,"spotify:track:0br9vcQnqeqp9PKCGsrxAF","Wicked Movie Cast, Ariana Grande, Andy Nyman, Courtney-Mae Briggs, Jeff Goldblum, Sharon D. Clarke, Jenna Boyd","No One Mourns the Wicked","Universal Studios and Republic Records",11,54,46
66,"spotify:track:0il7LJ828XyPqyvNx9cF5S","Smerz","You got time and I got money","Escho",43,50,6
67,"spotify:track:7JKpS5rKsKWeVPZ0ojBqv9","ROSALÍA","La Yugular","Columbia",67,-1,1
68,"spotify:track:2NLOyWzztMiW5FmNhD83K6","EsDeeKid, Rico Ace","Mist","Lizzy Records",49,49,7
69,"spotify:track:2uPMsTEKx79gJ8rB3AcT0v","Bizarrap, Daddy Yankee","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","DALE PLAY Records",69,-1,1
70,"spotify:track:0hVZnH3f3xmudcfCFLdw1V","ROSALÍA","Mio Cristo Piange Diamanti","Columbia",70,-1,1
71,"spotify:track:66sO5P0JhejhELU35RYVKV","Hazbin Hotel, Christian Borle, Joel Perez, Lilli Cooper, Sam Haft, Andrew Underberg","Once We Get Up There","Atlantic Records",44,53,8
72,"spotify:track:0T4lcpAprQ7CXjNdYCZ3vp","Jack Johnson, Hermanos Gutiérrez","Hold On To The Light","Jack Johnson Soundtrack",72,-1,1
73,"spotify:track:2pPNAgcdgtRMwK9mPYMK7O","EsDeeKid, Rico Ace","Cali Man","Lizzy Records",35,55,40
74,"spotify:track:57NAjcecxq276BAZyMuotB","Hariroc, Lil Tony Official","icon","squid1luh",74,-1,1
75,"spotify:track:6rrqv0WwGTTlavCNqVGd6A","Mumford & Sons, Hozier","Rubber Band Man (with Hozier)","Glassnote Entertainment Group LLC",15,44,15
76,"spotify:track:2JH26hQtnqWUNnQET8o2N1","ROSALÍA","Divinize","Columbia",76,-1,1
77,"spotify:track:1TPdMmb92BoWvDFQlCuVl0","Bad Omens","Dying To Love","Sumerian Records",29,52,15
78,"spotify:track:72YttnPRxyHe8zCG50jYhj","ZXKAI, slxughter","NO BATIDÃO - Slowed","ZXKAI",61,61,9
79,"spotify:track:7cqKXq3pKFXjd61mBUumZG","Jay Lewis, Gorilla Mode Dezz, Mista Cain","I Hope","Jay Lewis",18,60,34
80,"spotify:track:6DH13QYXK7lKkYHSU88N48","Daniel Caesar","Who Knows","Republic Records",16,46,15
81,"spotify:track:7GF92haKwJg9WUdnkTxRtr","ROSALÍA","Magnolias","Columbia",81,-1,1
82,"spotify:track:70lG2bwQd9OIaoIWbg0eMH","Black Gryph0n, Baasik","Upside Down","Black Gryph0n & Baasik",48,64,8
83,"spotify:track:59hVbgr8rfYkDbHfr8RcGI","Kenshi Yonezu","IRIS OUT","Sony Music Labels Inc.",3,57,38
84,"spotify:track:1NXbNEAcPvY5G1xvfN57aA","Tame Impala","Dracula","Columbia",1,58,43
85,"spotify:track:6tHVEMyRfxGgQuXRzl2yOF","Olivia Dean","I've Seen It","PLG - Capitol",23,59,43
86,"spotify:track:5MqzNAzRgVj2dfp30LJ6s1","Kehlani","Out The Window","TSNMI / Atlantic",86,-1,1
87,"spotify:track:12UlWZFRx4feuHwmy5CN2a","Jamie MacDonald","Left It In The River","Capitol CMG Label Group",14,66,81
88,"spotify:track:10uxlzuPGekUTay2ZpZ4pR","ROSALÍA","Sauvignon Blanc","Columbia",88,-1,1
89,"spotify:track:5vHs45P0mSuzl9rDRcliLK","Buck Owens & The Buckaroos","Made In Japan","Omnivore Recordings",28,62,77
90,"spotify:track:6FdOGTRYvLCJ79d55YtGgZ","ROSALÍA","Dios Es Un Stalker","Columbia",90,-1,1
91,"spotify:track:5QMrH5nszZZR3nefIj6Mar","Cynthia Erivo, Ariana Grande","Defying Gravity","Universal Studios and Republic Records",5,76,45
92,"spotify:track:5SruEBX3KpgpDvEcIuN53P","Olivia Dean","Baby Steps","PLG - Capitol",16,63,43
93,"spotify:track:5IB4ugsKzjD4hWuIEFZtAE","SEU Worship, ONE HOUSE, Kenzie Walker, Chelsea Plank, Roosevelt Stewart","What A God - Live","Essential Worship",35,68,67
94,"spotify:track:0JAaTG7sEjukCjC8X58puq","Florence + The Machine","Buckle","Florence + The Machine",34,48,8
95,"spotify:track:7gwGD2p8hy7Rphsx6n9NTL","49 Winchester","Changes","New West Records/Lucille Records/Music Corporation of America",95,-1,1
96,"spotify:track:3vJIaiTIHxHhYafTSPNiH4","Disney, Shakira","Zoo","Walt Disney Records",65,65,2
97,"spotify:track:0Mjasw7CGUJT6ByJa6pkbx","Stephen Schwartz, Kristin Chenoweth, Idina Menzel, Stephen Oremus","For Good","UME - Global Clearing House",36,74,19
98,"spotify:track:2mNGL7mZILSqZHxGboJaO9","Yeat","COMË N GO","Lyfestyle Corporation/Field Trip Recordings/Capitol Records",22,71,99
99,"spotify:track:1WiHuDPI9vNkicCNg9Tkbu","Olivia Dean, COLORS","A Couple Minutes (A COLORS SHOW)","PLG - Capitol",36,47,15
100,"spotify:track:7B6Jgw1FIgyfIidQiIftJ3","Hazbin Hotel, Erika Henningsen, Christian Borle, Joel Perez, Lilli Cooper, Stephanie Beatriz, Kevin Del Aguila, Krystina Alabado, Keith David, Kimiko Glenn, Amir Talai, Sam Haft, Andrew Underberg","Hazbin Guarantee (Trust Us)","Atlantic Records",31,67,24
