rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:5nC5a57UgrSg1mUxsz1P9D","22xlstl","We Are Charlie Kirk","22XELESTIAL / AMM Ventures, LLC",1,1,6
3,"spotify:track:3MNCLvaxxaJ5SbtYxxtrRd","eli.","heavens in ashes","10702597 Records DK",3,3,2
4,"spotify:track:7BYVb8ueEqGvcnPJWXihSt","Stephen Schwartz, Idina Menzel, Stephen Oremus","No Good Deed - From ""Wicked"" Original Broadway Cast Recording/2003","Verve (Adult Contemporary)",2,5,53
5,"spotify:track:2pHClPIG7C5v9Qhd1LHS2y","Stephen Schwartz, Idina Menzel, Leo Norbert Butz, Stephen Oremus","As Long As You're Mine","UME - Global Clearing House",1,4,34
6,"spotify:track:5W9YtUsoXA547TTPJUXvns","Annabelle Dinda","The Hand","Annabelle Dinda",6,-1,1
7,"spotify:track:4RvaI6d8mWCfEcGffUN52w","Olga Myko","use me!!!!!!!","Olga Myko",4,6,11
8,"spotify:track:0l5v3DyJqO2q5Dy6cplOmN","Cain Walker","I Don't Care","Crusty Records",8,9,2
9,"spotify:track:2zS3syUBiTkYqJRm9Tn52h","Cynthia Erivo, Ariana Grande, Idina Menzel, Kristin Chenoweth","For Good - Live from the Gershwin Theatre","Wicked Soundtrack",7,7,2
10,"spotify:track:17HsyeI0Eq06n3XRntZ4DT","Breaking Rust","Walk My Walk","Breaking Rust",1,8,22
11,"spotify:track:554qQSs9lpRVq6TlaaiIKT","EsDeeKid","4 Raws","Lizzy Records",7,13,73
12,"spotify:track:2ggP6WjaTsloaiBxXY5JB7","Elevation Worship, Chandler Moore","God I'm Just Grateful","Elevation Worship Records",11,11,2
13,"spotify:track:7xm4LAfV1lMn7rMJhO4ce6","THOT SQUAD","HOES DEPRESSED","THOT SQUAD",3,10,16
14,"spotify:track:4oVO4fGNRRvEn0CRuFO4qv","ROSALÍA, Yahritza Y Su Esencia","La Perla","Columbia",12,12,2
15,"spotify:track:0myPb7rgTdf5dTHnfwdvO9","Hazbin Hotel, Jessica Vosk, Alex Brightman, Sam Haft, Andrew Underberg","Gravity","Atlantic Records",1,15,30
16,"spotify:track:0zdjVFe5tqhgJVXLkvA8FX","Stephen Schwartz, Kristin Chenoweth, Carole Shelley, Stephen Oremus","Thank Goodness - From ""Wicked"" Original Broadway Cast Recording/2003","Verve (Adult Contemporary)",10,14,26
17,"spotify:track:0myRViRgmQ3J8izICXEAVO","She & Him","I Thought I Saw Your Face Today","Merge Records",14,18,24
18,"spotify:track:1s8kwEysRcSGPZC4Eg12By","Cain Walker","Ain't My Problem","Crusty Records",1,16,15
19,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",1,20,51
20,"spotify:track:65DbTqJKhbwqYbZ1Okr0rc","Ella Langley","Choosin' Texas","SAWGOD/Columbia",5,22,23
21,"spotify:track:2hY9mOKGblxfNFl2GOQKj4","JMSN","Love Me","JMSN",12,17,15
22,"spotify:track:3fBLo7dnG5CSepoXgu3B53","Breaking Rust","Livin’ on Borrowed Time","Breaking Rust",2,19,22
23,"spotify:track:54uoj9Bb6k97wSQ9MezOYU","Buffalo Traffic Jam","Fool's Gold","Arista Records",8,21,44
24,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",5,23,30
25,"spotify:track:1lJOLxDS8kS2rihrqezMcv","EsDeeKid","Century","Lizzy Records",25,26,9
26,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",24,24,2
27,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",1,25,86
28,"spotify:track:72RX8sK4OKFnUX2MBDOdBD","Stephen Wilson Jr.","Stand By Me - Live at The Print Shop","Big Loud Records",28,31,5
29,"spotify:track:0Y2QAFRdkzrNAJDPJ5lATF","Fred again.., Sammy Virji, Reggie","Talk of the Town","Atlantic Records UK",16,27,9
30,"spotify:track:0nRYjxQQCzMVyjgpTtKjLt","John Summit, Subtronics, Inéz","crystallized (feat. Inéz) - Subtronics Remix","Experts Only/Darkroom Records",28,28,2
31,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",3,30,44
32,"spotify:track:57Z6TJCTMACXxdrcwZ3Zvf","EsDeeKid, Rico Ace","Phantom","Lizzy Records",24,34,68
33,"spotify:track:4ThbwJaIWVxXZ1qJaHQBCz","Cody Johnson","Travelin' Soldier","CoJo Music/Warner Records Nashville",29,29,2
34,"spotify:track:23ZdNaFSfH7VdSVU4U0Agb","SIENNA SPIRO","You Stole The Show","Capitol Records",16,37,33
35,"spotify:track:0620OecAlwJQxWieRW4L9s","Labi Siffre","Bless the Telephone","Edsel",7,35,48
36,"spotify:track:312z6PZ8wwREck8613PkJk","Olivia Dean","A Couple Minutes","PLG - Capitol",11,33,44
37,"spotify:track:09xhawlPUifhftf8zuie7w","Buckshot, fakemink","Fever","-",26,38,14
38,"spotify:track:1eXaJCN3pBxK12D4NjJwBP","Kelsea Ballerini","I Sit In Parks","Black River Entertainment",32,32,2
39,"spotify:track:2cMO1LFtsP2EBjWgG4JHZl","Joshua Slone","Your Place At My Place","Max Kang LLC",10,42,9
40,"spotify:track:4ORvXsPK9AJmDzm36BYcdy","ROSALÍA","Reliquia","Columbia",36,36,2
41,"spotify:track:53rDh4kB1LJyLgnxm8K6Np","Fred again.., CA7RIEL & Paco Amoroso","Beto’s Horns - fred remix","Atlantic Records UK",41,41,2
42,"spotify:track:7mcxFbFdnFFbWwPflgqqKE","EsDeeKid","Rottweiler","Lizzy Records",34,43,35
43,"spotify:track:2T8yuUKl1nhmtaIocqWo4i","ROSALÍA, Björk, Yves Tumor","Berghain","Columbia",3,39,16
44,"spotify:track:1BeyjPUWYbHcthHjusrejv","Hilary Duff","Mature","Atlantic Records",40,40,2
45,"spotify:track:3SEVc1OeCtFmVVJPtWzq3P","Hazbin Hotel, Patina Miller, Liz Callaway, Sam Haft, Andrew Underberg","Sera's Confession","Atlantic Records",28,46,9
46,"spotify:track:2o4kFMrOGhXwdpKd2ZUaKs","Devi McCallion","I Want Things to Be Beautiful","Devi McCallion",10,45,18
47,"spotify:track:5uz5v1hRZLjNGatcPtOWUv","EsDeeKid, fakemink, Rico Ace","LV Sandals","Lizzy Records",43,52,37
48,"spotify:track:7lCpzHEIIBf7BQKfRyRP01","Big L, Mac Miller, Pale Jay","Forever","Mass Appeal",15,47,9
49,"spotify:track:6eo9UbUfjybG8VQLYspVO6","Doc Raven","My Ride or Die","Doc Raven",5,49,20
