rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
50,"spotify:track:3Vd4fHzwS6pBS3muymjiDi","Olivia Dean","Let Alone The One You Love","PLG - Capitol",13,48,44
51,"spotify:track:79bWkyd08EFDO0ZZuu7IRT","Furacão 2000, Nyasia","Mimosa 2000","Furacao 2000",3,50,59
52,"spotify:track:0MP4nheWCUxoztTK5yqb3g","Cynthia Erivo, Ariana Grande","Get Happy / Happy Days Are Here Again - Live from the Dolby Theatre","Wicked Soundtrack",44,44,2
53,"spotify:track:6XYSYV2avqhOl9BRexar7S","Hazbin Hotel, Leslie Kritzer, Amir Talai, Sam Haft, Andrew Underberg","Don't You Forget","Atlantic Records",53,54,2
54,"spotify:track:4GWl0BXvpoZL6B8e1f6Nn9","Hazbin Hotel, Christian Borle, Amir Talai, Joel Perez, Sam Haft, Andrew Underberg","Don't You Forget (Reprise)","Atlantic Records",53,53,2
55,"spotify:track:4VxTzYm00mg82MuoT35Ja7","Tyla","CHANEL","Epic",41,55,16
56,"spotify:track:53CnanPxbhecUExO9EIinJ","Hazbin Hotel, Kimiko Glenn, Erika Henningsen, Sam Haft, Andrew Underberg","Clean It Up!","Atlantic Records",56,56,2
57,"spotify:track:5KP2SYUSHbLbLsjw40VeH8","Hazbin Hotel, Alex Brightman, Krystina Alabado, Blake Roman, Sam Haft, Andrew Underberg","Piss (A Love Song)","Atlantic Records",57,59,2
58,"spotify:track:0br9vcQnqeqp9PKCGsrxAF","Wicked Movie Cast, Ariana Grande, Andy Nyman, Courtney-Mae Briggs, Jeff Goldblum, Sharon D. Clarke, Jenna Boyd","No One Mourns the Wicked","Universal Studios and Republic Records",11,65,47
59,"spotify:track:730GhznXWwH802wyHVJoqi","Thomas Day","lost myself 4 u","Arista Records",32,51,9
60,"spotify:track:5Jh7Gc5aF6leolD64pNRD5","overtonight throwaways, overtonight","mirrors demo","TOKYOSLONDON",41,62,15
61,"spotify:track:2Hg6JQr80HfDgb8T9s28g1","YEONJUN, Daniela Avanzini","Let Me Tell You (feat. Daniela of KATSEYE)","Republic Records - TXT",58,58,2
62,"spotify:track:16Z0an8D4BJNm3VbWWpTnv","Joji","Past Won't Leave My Bed","Palace Creek",57,57,2
63,"spotify:track:0il7LJ828XyPqyvNx9cF5S","Smerz","You got time and I got money","Escho",43,66,7
64,"spotify:track:2NLOyWzztMiW5FmNhD83K6","EsDeeKid, Rico Ace","Mist","Lizzy Records",49,68,8
65,"spotify:track:6PlBKImSl4AZoxBU7F649D","Taylor Swift, Loud Luxury","The Fate of Ophelia - Loud Luxury Remix","Taylor Swift",64,64,2
66,"spotify:track:66sO5P0JhejhELU35RYVKV","Hazbin Hotel, Christian Borle, Joel Perez, Lilli Cooper, Sam Haft, Andrew Underberg","Once We Get Up There","Atlantic Records",44,71,9
67,"spotify:track:2pPNAgcdgtRMwK9mPYMK7O","EsDeeKid, Rico Ace","Cali Man","Lizzy Records",35,73,41
68,"spotify:track:1g9GiiPPaL7KcDHlDzu7lT","Geese","Au Pays du Cocaine","Partisan / Play It Again Sam",7,-1,19
69,"spotify:track:6lYUgmE829m06SMC6tG3qD","Charli xcx, John Cale","House featuring John Cale","Atlantic Records",61,61,2
70,"spotify:track:0T4lcpAprQ7CXjNdYCZ3vp","Jack Johnson, Hermanos Gutiérrez","Hold On To The Light","Jack Johnson Soundtrack",70,72,2
71,"spotify:track:0IPBqw1WDfXfkzJgQaYOl9","nate band","Miss Your Body","Thirty Knots / moshpit projects.",4,63,22
72,"spotify:track:2uPMsTEKx79gJ8rB3AcT0v","Bizarrap, Daddy Yankee","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","DALE PLAY Records",69,69,2
73,"spotify:track:57NAjcecxq276BAZyMuotB","Hariroc, Lil Tony Official","icon","squid1luh",73,74,2
74,"spotify:track:7JKpS5rKsKWeVPZ0ojBqv9","ROSALÍA","La Yugular","Columbia",67,67,2
75,"spotify:track:6rrqv0WwGTTlavCNqVGd6A","Mumford & Sons, Hozier","Rubber Band Man (with Hozier)","Glassnote Entertainment Group LLC",15,75,16
76,"spotify:track:0hVZnH3f3xmudcfCFLdw1V","ROSALÍA","Mio Cristo Piange Diamanti","Columbia",70,70,2
77,"spotify:track:72YttnPRxyHe8zCG50jYhj","ZXKAI, slxughter","NO BATIDÃO - Slowed","ZXKAI",61,78,10
78,"spotify:track:6DH13QYXK7lKkYHSU88N48","Daniel Caesar","Who Knows","Republic Records",16,80,16
79,"spotify:track:7cqKXq3pKFXjd61mBUumZG","Jay Lewis, Gorilla Mode Dezz, Mista Cain","I Hope","Jay Lewis",18,79,35
80,"spotify:track:2JH26hQtnqWUNnQET8o2N1","ROSALÍA","Divinize","Columbia",76,76,2
81,"spotify:track:12UlWZFRx4feuHwmy5CN2a","Jamie MacDonald","Left It In The River","Capitol CMG Label Group",14,87,82
82,"spotify:track:5QMrH5nszZZR3nefIj6Mar","Cynthia Erivo, Ariana Grande","Defying Gravity","Universal Studios and Republic Records",5,91,46
83,"spotify:track:70lG2bwQd9OIaoIWbg0eMH","Black Gryph0n, Baasik","Upside Down","Black Gryph0n & Baasik",48,82,9
84,"spotify:track:6tHVEMyRfxGgQuXRzl2yOF","Olivia Dean","I've Seen It","PLG - Capitol",23,85,44
85,"spotify:track:1NXbNEAcPvY5G1xvfN57aA","Tame Impala","Dracula","Columbia",1,84,44
86,"spotify:track:3vJIaiTIHxHhYafTSPNiH4","Disney, Shakira","Zoo","Walt Disney Records",65,96,3
87,"spotify:track:59hVbgr8rfYkDbHfr8RcGI","Kenshi Yonezu","IRIS OUT","Sony Music Labels Inc.",3,83,39
88,"spotify:track:1TPdMmb92BoWvDFQlCuVl0","Bad Omens","Dying To Love","Sumerian Records",29,77,16
89,"spotify:track:5vHs45P0mSuzl9rDRcliLK","Buck Owens & The Buckaroos","Made In Japan","Omnivore Recordings",28,89,78
90,"spotify:track:6YrkatdanWuKHmF4mBxX2i","Stephen Wilson Jr.","I'm A Song - Live at The Print Shop","Big Loud Records",90,-1,2
91,"spotify:track:5SruEBX3KpgpDvEcIuN53P","Olivia Dean","Baby Steps","PLG - Capitol",16,92,44
92,"spotify:track:5IB4ugsKzjD4hWuIEFZtAE","SEU Worship, ONE HOUSE, Kenzie Walker, Chelsea Plank, Roosevelt Stewart","What A God - Live","Essential Worship",35,93,68
93,"spotify:track:7B6Jgw1FIgyfIidQiIftJ3","Hazbin Hotel, Erika Henningsen, Christian Borle, Joel Perez, Lilli Cooper, Stephanie Beatriz, Kevin Del Aguila, Krystina Alabado, Keith David, Kimiko Glenn, Amir Talai, Sam Haft, Andrew Underberg","Hazbin Guarantee (Trust Us)","Atlantic Records",31,100,25
94,"spotify:track:7GF92haKwJg9WUdnkTxRtr","ROSALÍA","Magnolias","Columbia",81,81,2
95,"spotify:track:6qo8v2y2MHUSPLs7VBc6cG","Jonathan Bailey, Ariana Grande, Ethan Slater, Marissa Bode, Cynthia Erivo","Dancing Through Life","Universal Studios and Republic Records",9,-1,38
96,"spotify:track:5MqzNAzRgVj2dfp30LJ6s1","Kehlani","Out The Window","TSNMI / Atlantic",86,86,2
97,"spotify:track:2mNGL7mZILSqZHxGboJaO9","Yeat","COMË N GO","Lyfestyle Corporation/Field Trip Recordings/Capitol Records",22,98,100
98,"spotify:track:10uxlzuPGekUTay2ZpZ4pR","ROSALÍA","Sauvignon Blanc","Columbia",88,88,2
99,"spotify:track:5ooqCHqs4axSJbWqIHfKfB","HIM","Join Me In Death","BMG Rights Management (US) LLC",58,-1,20
100,"spotify:track:0Mjasw7CGUJT6ByJa6pkbx","Stephen Schwartz, Kristin Chenoweth, Idina Menzel, Stephen Oremus","For Good","UME - Global Clearing House",36,97,20
