rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
1,"spotify:track:5nC5a57UgrSg1mUxsz1P9D","22xlstl","We Are Charlie Kirk","22XELESTIAL / AMM Ventures, LLC",1,1,13
2,"spotify:track:4OjKHySJHstsImlUW3qfml","Arlo Guthrie","Alice's Restaurant Massacree","Warner Records",2,2,50
3,"spotify:track:2FlmI2VT5XLHZLdZkp1OVH","Road Boyyz","Livin’ on Borrowed Time","Road Boyyz",3,-1,1
4,"spotify:track:6jppHdy8EW9ghHlOCpGBEr","Bershy","Radio","Bridge Between Records",1,3,18
5,"spotify:track:10zEjN1uWiYKSLo01BGlJx","Adam Sandler","The Thanksgiving Song","Warner Records",4,4,41
6,"spotify:track:7u3BVQ9DG1KA9c3Q8W3BLr","Hazbin Hotel, Keith David, Lilli Cooper, Kimiko Glenn, Krystina Alabado, Sam Haft, Andrew Underberg","Love In A Bottle","Atlantic Records",5,5,2
7,"spotify:track:0myRViRgmQ3J8izICXEAVO","She & Him","I Thought I Saw Your Face Today","Merge Records",7,9,31
8,"spotify:track:4RvaI6d8mWCfEcGffUN52w","Olga Myko","use me!!!!!!!","Olga Myko",4,6,18
9,"spotify:track:554qQSs9lpRVq6TlaaiIKT","EsDeeKid","4 Raws","Lizzy Records",7,7,80
10,"spotify:track:3vJIaiTIHxHhYafTSPNiH4","Disney, Shakira","Zoo","Walt Disney Records",10,11,10
11,"spotify:track:24GdDBCqLhHEe2cAFvgUrL","GIRLSET","Little Miss","Republic Records",8,8,2
12,"spotify:track:6ly0Zc4mrK1W0XLeuAk5Dv","Hazbin Hotel, Blake Roman, Sam Haft, Andrew Underberg","Losin' Streak","Atlantic Records",10,10,2
13,"spotify:track:3HiCAjMaPfM4vnbhLhADBp","Ice Spice","Big Guy - from ""The SpongeBob Movie: Search for SquarePants”","10K Projects/Capitol Records",13,14,2
14,"spotify:track:2ggP6WjaTsloaiBxXY5JB7","Elevation Worship, Chandler Moore","God I'm Just Grateful","Elevation Worship Records",11,13,9
15,"spotify:track:65DbTqJKhbwqYbZ1Okr0rc","Ella Langley","Choosin' Texas","SAWGOD/Columbia",5,16,30
16,"spotify:track:3HfKlhohNNTLIv2t9uvmzz","NF","FEAR","NF Real Music II",12,12,2
17,"spotify:track:1lJOLxDS8kS2rihrqezMcv","EsDeeKid","Century","Lizzy Records",17,17,16
18,"spotify:track:4NyUIohBa3CEMGcXURYSOh","Herencia De Grandes","Ya Borracho","Rancho Humilde",18,19,9
19,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",1,18,58
20,"spotify:track:7r6xGsyES2DTacyP6O585i","Gaten Matarazzo, Gabriella Pizzolo","Never Ending Story","Legacy Recordings",1,20,100
21,"spotify:track:6Km8JhmtqvNxQCUlX32PD9","H3adband","BOO","H3adband",21,28,6
22,"spotify:track:2hY9mOKGblxfNFl2GOQKj4","JMSN","Love Me","JMSN",12,22,22
